Niters,ExcTime,GNorm
4.10000000e+01,1.68657303e-03,7.77896751e-09
3.90000000e+01,1.42049789e-03,9.60083344e-09
4.10000000e+01,1.39117241e-03,8.84309001e-09
4.10000000e+01,1.44267082e-03,7.80069443e-09
4.10000000e+01,1.39522552e-03,8.30215423e-09
4.00000000e+01,1.40976906e-03,6.94820861e-09
3.90000000e+01,1.33252144e-03,9.95067123e-09
4.20000000e+01,1.47557259e-03,7.49098879e-09
4.20000000e+01,1.43027306e-03,6.77132401e-09
4.10000000e+01,1.40905380e-03,5.11492658e-09
3.40000000e+01,1.15394592e-03,9.63375455e-09
4.10000000e+01,1.44767761e-03,8.78643085e-09
4.10000000e+01,1.39641762e-03,8.28465317e-09
4.00000000e+01,1.41453743e-03,8.38496897e-09
4.00000000e+01,1.35302544e-03,7.59898779e-09
4.00000000e+01,1.40547752e-03,9.66764363e-09
4.20000000e+01,1.42931938e-03,7.75561243e-09
3.90000000e+01,1.36804581e-03,5.39186924e-09
4.00000000e+01,1.36137009e-03,3.88937644e-09
4.00000000e+01,1.36804581e-03,6.13675061e-09
3.90000000e+01,1.31559372e-03,6.22745429e-09
4.10000000e+01,1.44076347e-03,8.28486130e-09
3.90000000e+01,1.31511688e-03,4.96535791e-09
4.10000000e+01,1.43861771e-03,4.87874277e-09
3.90000000e+01,1.31988525e-03,6.98420804e-09
4.10000000e+01,1.40690804e-03,8.04888044e-09
4.10000000e+01,1.39451027e-03,6.19728306e-09
4.00000000e+01,1.39665604e-03,7.48591431e-09
3.90000000e+01,1.32346153e-03,6.51745111e-09
4.10000000e+01,1.43265724e-03,8.65027773e-09
