Dimension,K(A),Niters,ExcTime,GNorm
1.0000e+02,1.0000e+02,3.9400e+01,7.2051e-03,7.2313e-09
1.0000e+02,1.0000e+03,1.1377e+02,9.2938e-03,8.7651e-09
1.0000e+02,1.0000e+04,2.9283e+02,2.4717e-02,9.2046e-09
1.0000e+02,1.0000e+05,6.8627e+02,5.7684e-02,9.3462e-09
1.0000e+03,1.0000e+02,4.3967e+01,5.0788e-03,6.1942e-09
1.0000e+03,1.0000e+03,1.4073e+02,1.5487e-02,8.9303e-09
1.0000e+03,1.0000e+04,4.3767e+02,4.9420e-02,9.7156e-09
1.0000e+03,1.0000e+05,1.4291e+03,1.5629e-01,9.9112e-09
1.0000e+04,1.0000e+02,4.5967e+01,3.4174e-02,5.6904e-09
1.0000e+04,1.0000e+03,1.4800e+02,1.0707e-01,9.5245e-09
1.0000e+04,1.0000e+04,4.6817e+02,3.3654e-01,9.6968e-09
1.0000e+04,1.0000e+05,1.4731e+03,1.0654e+00,9.9063e-09
